M 193.000000 113.000000
L 197.500000 117.500000
L 197.500000 62.500000
L 180.500000 62.500000
L 180.500000 117.500000
L 197.500000 117.500000

M 37.000000 25.000000
L 41.500000 29.500000
L 41.500000 12.500000
L 24.500000 12.500000
L 24.500000 29.500000
L 41.500000 29.500000

M 37.000000 90.000000
L 41.500000 94.500000
L 41.500000 58.500000
L 24.500000 58.500000
L 24.500000 94.500000
L 41.500000 94.500000

M 37.000000 113.000000
L 41.500000 117.500000
L 41.500000 100.500000
L 24.500000 100.500000
L 24.500000 117.500000
L 41.500000 117.500000

M 79.000000 25.000000
L 83.500000 29.500000
L 83.500000 12.500000
L 47.500000 12.500000
L 47.500000 29.500000
L 83.500000 29.500000

M 79.000000 48.000000
L 83.500000 52.500000
L 83.500000 35.500000
L 47.500000 35.500000
L 47.500000 52.500000
L 83.500000 52.500000

M 60.000000 90.000000
L 64.500000 94.500000
L 64.500000 78.914214
L 64.501685 78.806971
L 64.506737 78.699833
L 64.515152 78.592908
L 64.526922 78.486299
L 64.542035 78.380113
L 64.560475 78.274454
L 64.582225 78.169426
L 64.607264 78.065133
L 64.635566 77.961678
L 64.667104 77.859164
L 64.701846 77.757690
L 64.739758 77.657358
L 64.780803 77.558266
L 64.824941 77.460512
L 64.872127 77.364193
L 64.922315 77.269404
L 64.975456 77.176237
L 65.031498 77.084786
L 65.090384 76.995141
L 65.152057 76.907389
L 65.216456 76.821618
L 65.283517 76.737912
L 65.353174 76.656354
L 65.425359 76.577024
L 65.500000 76.500000
L 65.577024 76.425359
L 65.656354 76.353174
L 65.737912 76.283517
L 65.821618 76.216456
L 65.907389 76.152057
L 65.995141 76.090384
L 66.084786 76.031498
L 66.176237 75.975456
L 66.269404 75.922315
L 66.364193 75.872127
L 66.460512 75.824941
L 66.558266 75.780803
L 66.657358 75.739758
L 66.757690 75.701846
L 66.859164 75.667104
L 66.961678 75.635566
L 67.065133 75.607264
L 67.169426 75.582225
L 67.274454 75.560475
L 67.380113 75.542035
L 67.486299 75.526922
L 67.592908 75.515152
L 67.699833 75.506737
L 67.806971 75.501685
L 67.914214 75.500000
L 83.500000 75.500000
L 83.500000 58.500000
L 66.500000 58.500000
L 66.500000 74.085786
L 66.498315 74.193029
L 66.493263 74.300167
L 66.484848 74.407092
L 66.473078 74.513701
L 66.457965 74.619887
L 66.439525 74.725546
L 66.417775 74.830574
L 66.392736 74.934867
L 66.364434 75.038322
L 66.332896 75.140836
L 66.298154 75.242310
L 66.260242 75.342642
L 66.219197 75.441734
L 66.175059 75.539488
L 66.127873 75.635807
L 66.077685 75.730596
L 66.024544 75.823763
L 65.968502 75.915214
L 65.909616 76.004859
L 65.847943 76.092611
L 65.783544 76.178382
L 65.716483 76.262088
L 65.646826 76.343646
L 65.574641 76.422976
L 65.500000 76.500000
L 65.422976 76.574641
L 65.343646 76.646826
L 65.262088 76.716483
L 65.178382 76.783544
L 65.092611 76.847943
L 65.004859 76.909616
L 64.915214 76.968502
L 64.823763 77.024544
L 64.730596 77.077685
L 64.635807 77.127873
L 64.539488 77.175059
L 64.441734 77.219197
L 64.342642 77.260242
L 64.242310 77.298154
L 64.140836 77.332896
L 64.038322 77.364434
L 63.934867 77.392736
L 63.830574 77.417775
L 63.725546 77.439525
L 63.619887 77.457965
L 63.513701 77.473078
L 63.407092 77.484848
L 63.300167 77.493263
L 63.193029 77.498315
L 63.085786 77.500000
L 47.500000 77.500000
L 47.500000 94.500000
L 64.500000 94.500000

M 79.000000 113.000000
L 83.500000 117.500000
L 83.500000 100.500000
L 47.500000 100.500000
L 47.500000 117.500000
L 83.500000 117.500000

M 102.000000 25.000000
L 106.500000 29.500000
L 106.500000 12.500000
L 89.500000 12.500000
L 89.500000 29.500000
L 106.500000 29.500000

M 102.000000 48.000000
L 106.500000 52.500000
L 106.500000 35.500000
L 89.500000 35.500000
L 89.500000 52.500000
L 106.500000 52.500000

M 102.000000 90.000000
L 106.500000 94.500000
L 106.500000 58.500000
L 89.500000 58.500000
L 89.500000 94.500000
L 106.500000 94.500000

M 125.000000 25.000000
L 129.500000 29.500000
L 129.500000 12.500000
L 112.500000 12.500000
L 112.500000 29.500000
L 129.500000 29.500000

M 193.000000 25.000000
L 197.500000 29.500000
L 197.500000 12.500000
L 180.500000 12.500000
L 180.500000 29.500000
L 197.500000 29.500000

